isolation.period	migration.period	theta	rho	migration	posterior
0.00123807819606	0.0035642111539	0.00128192673825	0.317922864863	358.791082691	-49734.9599409
0.000627538862994	0.00314767079791	0.00240182882666	0.284244202678	255.403711508	-49735.8563238
0.000768334372089	0.00359243004134	0.00173195359125	0.304137235808	279.675397199	-49733.6169423
0.00102501612398	0.00241356426423	0.00252620717077	0.258455163924	364.456736402	-49734.9413742
0.00110989400539	0.00355242979832	0.00195965914466	0.262541208948	418.707686325	-49733.5875805
0.00106290894511	0.00327013459429	0.0015286726863	0.330136112263	272.029361891	-49733.0673412
0.000961648723186	0.00342668413774	0.00180273827006	0.403509888302	313.656508549	-49734.4618766
0.00111755014531	0.00292147900821	0.00186514507616	0.227698724125	353.935662158	-49733.3420577
0.000653239633622	0.00286039168766	0.00238093270755	0.234138348137	335.630673598	-49735.4223585
0.00105243826142	0.00310931576707	0.00195323442752	0.310177097658	495.136369845	-49734.9052805
0.000790049357767	0.00309243914273	0.00204877026588	0.267007724586	309.273069923	-49733.1143297
0.000725951564122	0.00352889545067	0.00157311151859	0.369213852185	170.308435864	-49736.3696179
0.00110408043715	0.00332069845805	0.00174777794176	0.310634726296	336.192655026	-49732.4439505
0.00127567421823	0.00370067369271	0.0013277592279	0.307107661417	378.200695312	-49734.8413389
0.000909295313952	0.00315039644915	0.00170350236633	0.27089871492	281.365627186	-49733.3588097
0.000843683786144	0.00237058476859	0.00243650977204	0.254332776189	280.391499039	-49734.8699844
